Title,Description,Priority,Status,Assignee,Created,Completed,Labels,Estimate
CTI-010 — Phase A evidence + task-verifier closeout,"**Task ID:** `CTI-010`
**Spec:** `tasks/agent/tasks/CTI-010-phase-a-evidence.md`
**Repo status:** Open
**Priority:** P1
**Phase:** CTI-A
**Depends on:** CTI-009
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:agent, phase-1",
CTI-011 — coffee_tour_embeddings + server embed job,"**Task ID:** `CTI-011`
**Spec:** `tasks/agent/tasks/CTI-011-postMVP-embeddings-pipeline.md`
**Repo status:** Open
**Priority:** P2
**Phase:** CTI-B
**Depends on:** CTI-001A, CTI-010
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:agent, phase-1",
CTI-012 — verifyCoffeeTourSources (Search Grounding),"**Task ID:** `CTI-012`
**Spec:** `tasks/agent/tasks/CTI-012-verify-tour-sources.md`
**Repo status:** Open
**Priority:** P2
**Phase:** CTI-B
**Depends on:** CTI-001A, MAP-002D, GS-001
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:agent, phase-1",
CTI-013 — ADK discovery merge into coffee_tours staging,"**Task ID:** `CTI-013`
**Spec:** `tasks/agent/tasks/CTI-013-adk-discovery-merge.md`
**Repo status:** Open
**Priority:** P2
**Phase:** CTI-B
**Depends on:** CTI-001A, CTI-004, MAP-002
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:agent, phase-1",
CTI-014 — saveCoffeeTour + user interactions RLS,"**Task ID:** `CTI-014`
**Spec:** `tasks/agent/tasks/CTI-014-save-coffee-tour.md`
**Repo status:** Open
**Priority:** P2
**Phase:** CTI-B
**Depends on:** CTI-001A, CTI-007, F08
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:agent, phase-1",
CTI-015 — CoffeeTourCompareDrawer + compareCoffeeTours,"**Task ID:** `CTI-015`
**Spec:** `tasks/agent/tasks/CTI-015-compare-drawer.md`
**Repo status:** Open
**Priority:** P2
**Phase:** CTI-B
**Depends on:** CTI-007
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:agent, phase-1",
CTI-016 — Coffee tour intent chips on ChatQueryBar,"**Task ID:** `CTI-016`
**Spec:** `tasks/agent/tasks/CTI-016-query-bar-chips.md`
**Repo status:** Open
**Priority:** P2
**Phase:** CTI-B
**Depends on:** CTI-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:agent, phase-1",
CTI-017 — /tours/[slug] detail page,"**Task ID:** `CTI-017`
**Spec:** `tasks/agent/tasks/CTI-017-tour-detail-page.md`
**Repo status:** Open
**Priority:** P3
**Phase:** CTI-C
**Depends on:** CTI-001A, CTI-007
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:agent, phase-2",
CTI-018 — Extract coffeeTourSearchWorkflow from concierge,"**Task ID:** `CTI-018`
**Spec:** `tasks/agent/tasks/CTI-018-coffee-tour-workflow.md`
**Repo status:** Open
**Priority:** P3
**Phase:** CTI-C
**Depends on:** CTI-004, CTI-010
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:agent, phase-2",
CTI-020 — WhatsApp handoff for coffee tours,"**Task ID:** `CTI-020`
**Spec:** `tasks/agent/tasks/CTI-020-whatsapp-handoff.md`
**Repo status:** Open
**Priority:** P3
**Phase:** CTI-C
**Depends on:** CTI-014, CTI-005, F08
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:agent, phase-2",
"CTEST-000 — Contest diagrams, GitHub repo decisions, and scope gate","**Task ID:** `CTEST-000`
**Spec:** `tasks/contest/tasks/CTEST-000-diagrams-repo-decisions.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest planning
**Depends on:** —
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
CTEST-001 — Supabase contest core schema and RLS,"**Task ID:** `CTEST-001`
**Spec:** `tasks/contest/tasks/CTEST-001-supabase-contest-core-schema.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest data foundation
**Depends on:** CTEST-000
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
CTEST-002 — Voting and judge scoring ledgers,"**Task ID:** `CTEST-002`
**Spec:** `tasks/contest/tasks/CTEST-002-voting-scoring-ledgers.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest trust foundation
**Depends on:** CTEST-001
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
CTEST-003 — Tickets and paid-vote payment-derived schema,"**Task ID:** `CTEST-003`
**Spec:** `tasks/contest/tasks/CTEST-003-ticket-paid-vote-schema.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest payments foundation
**Depends on:** CTEST-001, CTEST-002
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
CTEST-004 — CopilotKit contest workspace and approval cards,"**Task ID:** `CTEST-004`
**Spec:** `tasks/contest/tasks/CTEST-004-copilotkit-contest-workspace.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest AI UI
**Depends on:** CTEST-001
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
CTEST-005 — Mastra and Gemini contest workflows,"**Task ID:** `CTEST-005`
**Spec:** `tasks/contest/tasks/CTEST-005-mastra-gemini-workflows.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest AI workflows
**Depends on:** CTEST-002, CTEST-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
"CTEST-006 — Contest screens, routes, and wireframes","**Task ID:** `CTEST-006`
**Spec:** `tasks/contest/tasks/CTEST-006-screens-wireframes.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest UI
**Depends on:** CTEST-001, CTEST-004
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
CTEST-007 — Contest Playwright proof gates,"**Task ID:** `CTEST-007`
**Spec:** `tasks/contest/tasks/CTEST-007-playwright-proof-gates.md`
**Repo status:** Draft
**Priority:** P0
**Phase:** Contest testing
**Depends on:** CTEST-002, CTEST-003, CTEST-006
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:contest, phase-1",
F20 — Port evaluationAgent + scorers + Vercel deploy prep,"**Task ID:** `F20`
**Spec:** `tasks/core/F20-evaluation-and-deploy-prep.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** W8-W9 — observability + deployment
**Depends on:** F19-concierge-and-restaurants-attractions
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:core, phase-1",
"F21A — Auto-review — manual calibration (rules + subagent only, no hooks)","**Task ID:** `F21A`
**Spec:** `tasks/core/F21A-auto-review-calibration.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** W2 — Day 4 / Day 5 (after F09 + F10 ship)
**Depends on:** F09
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:core, phase-1",
F22 — Port Medellín hero photo library from legacy,"**Task ID:** `F22`
**Spec:** `tasks/core/F22-hero-photo-library.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** W2 — Day 5 (post-F07 quick win)
**Depends on:** F07
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:core, phase-1",
F26 — Port RestaurantCard + RestaurantFilters component,"**Task ID:** `F26`
**Spec:** `tasks/core/F26-restaurant-card-component.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** W6 — Day 1 (Tourist concierge surface)
**Depends on:** F07, F22, F24, F25
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:core, phase-1",
F30 — Port OnboardingLayout — first-run shell,"**Task ID:** `F30`
**Spec:** `tasks/core/F30-onboarding-layout.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** W7 — Day 1 (first-run UX polish, post-MVP feature)
**Depends on:** F07
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:core, phase-2",
F32 — Production smoke against https://mdeapp.vercel.app,"**Task ID:** `F32`
**Spec:** `tasks/core/F32-production-smoke.md`
**Repo status:** Not Started
**Priority:** P1
**Phase:** W2 — Day 5 (closes the localhost-vs-prod proof gap)
**Depends on:** F06
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:core, phase-1",
EVP-001-core — Event production proof gates,"**Task ID:** `EVP-001-core`
**Spec:** `tasks/events/EVP-001-core-production-proof-gates.md`
**Repo status:** Not Started
**Priority:** P0
**Depends on:** EVP-002-core, EVP-004-core, EVP-005-core, EVP-008-core, EVP-009-core, EVP-010-core, EVP-011-core, EVP-012-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:events, phase-1",
EVP-003-core — P0 Stripe webhook secret audit (ticket vs sponsor),"**Task ID:** `EVP-003-core`
**Spec:** `tasks/events/EVP-003-core-stripe-webhook-secret-audit.md`
**Repo status:** Partial
**Priority:** P0
**Phase:** W2 — Day 2 (revenue-critical)
**Depends on:** F06
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,In Progress,,,,"track:events, phase-1",
EVP-013-core — Port EventCard + EventFilters component,"**Task ID:** `EVP-013-core`
**Spec:** `tasks/events/EVP-013-core-event-card-component.md`
**Repo status:** Partial
**Priority:** P1
**Phase:** W3 — Day 2 (Roberto's events surface)
**Depends on:** F07, F22
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,In Progress,,,,"track:events, phase-1",
EVP-014-core — /host/events list page — Roberto draft + published view (PRD §51 #15),"**Task ID:** `EVP-014-core`
**Spec:** `tasks/events/EVP-014-core-host-events-list-page.md`
**Repo status:** Not Started
**Priority:** P0
**Phase:** W3 — Day 2 (Roberto hero list view)
**Depends on:** F07, F08, F22, EVP-013-core, EVP-009-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Urgent,Todo,,,,"track:events, phase-1",
EVP-015-mvp — Grounded event discovery,"**Task ID:** `EVP-015-mvp`
**Spec:** `tasks/events/EVP-015-mvp-grounded-event-discovery.md`
**Repo status:** Not Started
**Priority:** P1
**Depends on:** EVP-001-core, EVP-005-core, EVP-013-core, GS-001, GS-003
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-016-mvp — Event maps + venue integration,"**Task ID:** `EVP-016-mvp`
**Spec:** `tasks/events/EVP-016-mvp-event-maps-venue-integration.md`
**Repo status:** Not Started
**Priority:** P1
**Depends on:** EVP-015-mvp, MAP-004, MAP-010
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-018-mvp — Event web discovery — future task pack (EVP-019…028),"**Task ID:** `EVP-018-mvp`
**Spec:** `tasks/events/EVP-018-mvp-event-web-discovery-task-pack.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Post-MVP — Phase 2+
**Depends on:** EVP-017-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:events, phase-2",
"EVP-019-mvp — Research official docs (CopilotKit, Mastra, ADK, Grounding, Places)","**Task ID:** `EVP-019-mvp`
**Spec:** `tasks/events/EVP-019-mvp-research-official-docs.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-017-mvp-event-grounding-architecture
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-020-mvp — Discovered events data model + RLS,"**Task ID:** `EVP-020-mvp`
**Spec:** `tasks/events/EVP-020-mvp-discovered-events-data-model.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-019-mvp-research-official-docs
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-021-mvp — Google Search Grounding query templates,"**Task ID:** `EVP-021-mvp`
**Spec:** `tasks/events/EVP-021-mvp-google-search-grounding.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-023-mvp-adk-search-maps-agents, EVP-007-core-event-agent-prompt-and-sources, MAP-002D, GS-001
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-022-mvp — eventDiscoveryWorkflow (Mastra),"**Task ID:** `EVP-022-mvp`
**Spec:** `tasks/events/EVP-022-mvp-event-discovery-workflow.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-020-mvp-discovered-events-data-model, EVP-005-core-event-tool-and-workflow
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-023-mvp — ADK SearchAgent + MapsAgent sidecar,"**Task ID:** `EVP-023-mvp`
**Spec:** `tasks/events/EVP-023-mvp-adk-search-maps-agents.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-019-mvp-research-official-docs
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-024-mvp — Places API enrichment for discovered events,"**Task ID:** `EVP-024-mvp`
**Spec:** `tasks/events/EVP-024-mvp-places-enrichment.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-022-mvp-event-discovery-workflow
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
"EVP-025-mvp — CopilotKit discovery UI (cards, attribution, approval)","**Task ID:** `EVP-025-mvp`
**Spec:** `tasks/events/EVP-025-mvp-copilotkit-discovery-ui.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-022-mvp-event-discovery-workflow, SCREEN-006
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-026-mvp — Human approval save flow,"**Task ID:** `EVP-026-mvp`
**Spec:** `tasks/events/EVP-026-mvp-human-approval-save-flow.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-020-mvp-discovered-events-data-model, EVP-011-core-approval-panel-hitl
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-027-mvp — Discovery test plan,"**Task ID:** `EVP-027-mvp`
**Spec:** `tasks/events/EVP-027-mvp-discovery-test-plan.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-025-mvp-copilotkit-discovery-ui
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-028-mvp — Production readiness checklist,"**Task ID:** `EVP-028-mvp`
**Spec:** `tasks/events/EVP-028-mvp-production-readiness.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Post-MVP
**Depends on:** EVP-027-mvp-discovery-test-plan
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-2",
EVP-029-advanced — Sponsor CRM-lite + proposal drafts,"**Task ID:** `EVP-029-advanced`
**Spec:** `tasks/events/EVP-029-advanced-sponsor-crm-lite.md`
**Repo status:** Not Started
**Priority:** P2
**Depends on:** EVP-001-core, EVP-003-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
EVP-030-advanced — OpenClaw/Postiz approval sandbox,"**Task ID:** `EVP-030-advanced`
**Spec:** `tasks/events/EVP-030-advanced-openclaw-postiz-approval-sandbox.md`
**Repo status:** Not Started
**Priority:** P3
**Depends on:** EVP-029-advanced
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:events, phase-1",
EVP-031-advanced — OpenClaw automation plan (no implementation),"**Task ID:** `EVP-031-advanced`
**Spec:** `tasks/events/EVP-031-advanced-openclaw-automation-plan.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Phase 3
**Depends on:** EVP-025-mvp-copilotkit-discovery-ui
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:events, phase-1",
EVP-032-mvp — Luma-style event detail layout,"**Task ID:** `EVP-032-mvp`
**Spec:** `tasks/events/EVP-032-mvp-luma-event-detail-layout.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-013-core, EVP-016-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-033-mvp — Event vibe tags and AI summary,"**Task ID:** `EVP-033-mvp`
**Spec:** `tasks/events/EVP-033-mvp-event-vibe-ai-summary.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-032-mvp, EVP-007-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-034-mvp — Ask Host and AI Q&A assistant,"**Task ID:** `EVP-034-mvp`
**Spec:** `tasks/events/EVP-034-mvp-ask-host-ai-qa.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-032-mvp, EVP-012-core
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-035-mvp — Attendee profiles and audience breakdown,"**Task ID:** `EVP-035-mvp`
**Spec:** `tasks/events/EVP-035-mvp-attendee-profiles-audience-breakdown.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-002-core, EVP-032-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
"EVP-036-mvp — Community, map, and nearby intelligence","**Task ID:** `EVP-036-mvp`
**Spec:** `tasks/events/EVP-036-mvp-community-map-nearby.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-016-mvp, EVP-024-mvp, EVP-032-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
EVP-037-mvp — AI event decision concierge,"**Task ID:** `EVP-037-mvp`
**Spec:** `tasks/events/EVP-037-mvp-concierge-event-decision-chat.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-004-core, EVP-005-core, EVP-033-mvp, EVP-035-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-038-postmvp — AI networking matchmaking and icebreakers,"**Task ID:** `EVP-038-postmvp`
**Spec:** `tasks/events/EVP-038-postmvp-ai-networking-matchmaking.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-035-mvp, EVP-037-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
EVP-039-postmvp — Live event chat and networking rooms,"**Task ID:** `EVP-039-postmvp`
**Spec:** `tasks/events/EVP-039-postmvp-live-event-chat-rooms.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** EVP-035-mvp, EVP-038-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:events, phase-1",
EVP-040-postmvp — Post-event follow-up assistant,"**Task ID:** `EVP-040-postmvp`
**Spec:** `tasks/events/EVP-040-postmvp-post-event-follow-up.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-038-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
EVP-041-advanced — Community relationship graph,"**Task ID:** `EVP-041-advanced`
**Spec:** `tasks/events/EVP-041-advanced-community-relationship-graph.md`
**Repo status:** Open
**Priority:** P3
**Depends on:** EVP-038-postmvp, EVP-039-postmvp, EVP-040-postmvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:events, phase-1",
EVP-042-mvp — Smart event recommendations and compatibility score,"**Task ID:** `EVP-042-mvp`
**Spec:** `tasks/events/EVP-042-mvp-smart-recommendations-compatibility.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-033-mvp, EVP-035-mvp, EVP-037-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
"EVP-043-mvp — Neighborhood, safety, transit, and weather intelligence","**Task ID:** `EVP-043-mvp`
**Spec:** `tasks/events/EVP-043-mvp-neighborhood-safety-transit-intelligence.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-016-mvp, EVP-024-mvp, EVP-036-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-044-mvp — WhatsApp and community links,"**Task ID:** `EVP-044-mvp`
**Spec:** `tasks/events/EVP-044-mvp-whatsapp-community-links.md`
**Repo status:** Open
**Priority:** P1
**Depends on:** EVP-032-mvp, EVP-034-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",High,Todo,,,,"track:events, phase-1",
EVP-045-mvp — Host pricing suggestions and moderation basics,"**Task ID:** `EVP-045-mvp`
**Spec:** `tasks/events/EVP-045-mvp-host-pricing-moderation-basics.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-010-core, EVP-012-core, EVP-034-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
EVP-046-mvp — Live event updates feed,"**Task ID:** `EVP-046-mvp`
**Spec:** `tasks/events/EVP-046-mvp-live-event-updates.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-032-mvp, EVP-035-mvp, EVP-044-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
EVP-047-postmvp — AI night itinerary builder,"**Task ID:** `EVP-047-postmvp`
**Spec:** `tasks/events/EVP-047-postmvp-ai-night-itinerary-builder.md`
**Repo status:** Open
**Priority:** P2
**Depends on:** EVP-036-mvp, EVP-037-mvp, EVP-043-mvp
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:events, phase-1",
GS-005 — Verify ticket source + venue update tools,"**Task ID:** `GS-005`
**Spec:** `tasks/grounding-search/tasks/GS-005-verify-ticket-venue-tools.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Phase 2.1
**Depends on:** MAP-002D, GS-002
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:grounding, phase-2",
GS-006 — Gemini tool combination spike (Search + MCP),"**Task ID:** `GS-006`
**Spec:** `tasks/grounding-search/tasks/GS-006-tool-combination-spike.md`
**Repo status:** Not Started
**Priority:** P2
**Phase:** Phase 2.1
**Depends on:** MAP-002D
_Generated from mdeai tasks/ for Linear MDEAPP project._",Medium,Todo,,,,"track:grounding, phase-2",
GS-007 — Restaurant opening / closure verification (Search),"**Task ID:** `GS-007`
**Spec:** `tasks/grounding-search/tasks/GS-007-restaurant-closure-verify.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Phase 2.1
**Depends on:** MAP-002D, MAP-006
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:grounding, phase-2",
GS-008 — Neighborhood news search (Search fallback),"**Task ID:** `GS-008`
**Spec:** `tasks/grounding-search/tasks/GS-008-neighborhood-news-search.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Phase 2.1
**Depends on:** MAP-002D, MAP-012A
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:grounding, phase-2",
GS-009 — Sponsor research (Search grounding),"**Task ID:** `GS-009`
**Spec:** `tasks/grounding-search/tasks/GS-009-sponsor-research-search.md`
**Repo status:** Not Started
**Priority:** P3
**Phase:** Phase 3
**Depends on:** MAP-002D
_Generated from mdeai tasks/ for Linear MDEAPP project._",Low,Todo,,,,"track:grounding, phase-1",
